all_mycobiome_samples,,all_microbiome_samples,,,,microbiome,matching_mycobiome,,,,Bd-positive,mycobiome,microbiome
TW17002,,TW17001,,,,TW17001,,,,,TW17049,TW17049,
TW17004,,TW17002,,,,TW17002,TW17002,,,,TW17178,,TW17178
TW17005,,TW17003,,,,TW17003,,,,,TW17179,,TW17179
TW17010,,TW17004,,,,TW17004,TW17004,,,,TW17245,,
TW17013,,TW17005,,,,TW17005,TW17005,,,,TW17285,,TW17285
TW17018,,TW17006,,,,TW17006,,,,,TW17286,TW17286,
TW17019,,TW17007,,,,TW17007,,,,,TW17293,TW17293,
TW17021,,TW17008,,,,TW17008,,,,,TW17363,,
TW17022,,TW17009,,,,TW17009,,,,,TW17364,TW17364,TW17364
TW17024,,TW17010,,,,TW17010,TW17010,,,,TW17367,,TW17367
TW17025,,TW17031,,,,TW17031,TW17031,,,,TW17369,TW17369,TW17369
TW17031,,TW17032,,,,TW17032,TW17032,,,,TW17370,TW17370,
TW17032,,TW17033,,,,TW17033,TW17033,,,,TW17371,TW17371,TW17371
TW17033,,TW17034,,,,TW17034,TW17034,,,,TW17372,TW17372,TW17372
TW17034,,TW17035,,,,TW17035,TW17035,,,,TW17373,TW17373,TW17373
TW17035,,TW17036,,,,TW17036,TW17036,,,,TW17374,TW17374,TW17374
TW17036,,TW17037,,,,TW17037,TW17037,,,,TW17375,TW17375,
TW17037,,TW17040,,,,TW17040,TW17040,,,,TW17376,,TW17376
TW17038,,TW17203,,,,TW17203,,,,,TW17431,TW17431,
TW17039,,TW17204,,,,TW17204,,,,,TW17432,,TW17432
TW17040,,TW17205,,,,TW17205,,,,,TW17433,TW17433,TW17433
TW17042,,TW17207,,,,TW17207,,,,,TW17434,TW17434,TW17434
TW17044,,TW17208,,,,TW17208,,,,,TW17435,TW17435,TW17435
TW17045,,TW17209,,,,TW17209,,,,,TW17440,TW17440,
TW17048,,TW17134,,,,TW17134,,,,,TW17450,TW17450,
TW17049,,TW17135,,,,TW17135,TW17135,,,,TW17455,TW17455,
TW17052,,TW17136,,,,TW17136,TW17136,,,,TW17456,,
TW17054,,TW17137,,,,TW17137,,,,,TW17470,,
TW17055,,TW17138,,,,TW17138,TW17138,,,,TW17546,TW17546,
TW17056,,TW17139,,,,TW17139,TW17139,,,,TW17555,TW17555,
TW17057,,TW17140,,,,TW17140,TW17140,,,,TW17556,,
TW17058,,TW17141,,,,TW17141,TW17141,,,,TW17591,,
TW17059,,TW17142,,,,TW17142,,,,,TW17696,TW17696,
