miseq_id,Date,ID,Site_code,Species,Amphibian_type,Age ,Lifestage,Sex,Habitat_type,Notes,qPCR,wild_captive,Sample_type,Latitude,Longitude,Altitude_ft,Altitude_m
TW16579,12/04/2016,TW16_579,University Pond NTU,Bufo bankorensis,anuran,tadpoles,tadpole,,pond,,0,wild,swab,25.0161,121.5398,49,15
TW16580,12/04/2016,TW16_580,University Pond NTU,Bufo bankorensis,anuran,tadpoles,tadpole,,pond,,0,wild,swab,25.0161,121.5398,49,15
TW16581,12/04/2016,TW16_581,University Pond NTU,Bufo bankorensis,anuran,tadpoles,tadpole,,pond,,0,wild,swab,25.0161,121.5398,49,15
TW16582,12/04/2016,TW16_582,University Pond NTU,Bufo bankorensis,anuran,tadpoles,tadpole,,pond,,0,wild,swab,25.0161,121.5398,49,15
TW16583,12/04/2016,TW16_583,University Pond NTU,Bufo bankorensis,anuran,tadpoles,tadpole,,pond,,0,wild,swab,25.0161,121.5398,49,15
TW16584,12/04/2016,TW16_584,University Pond NTU,Bufo bankorensis,anuran,tadpoles,tadpole,,pond,,0,wild,swab,25.0161,121.5398,49,15
TW16585,12/04/2016,TW16_585,University Pond NTU,Bufo bankorensis,anuran,tadpoles,tadpole,,pond,,0,wild,swab,25.0161,121.5398,49,15
TW16586,12/04/2016,TW16_586,University Pond NTU,Bufo bankorensis,anuran,tadpoles,tadpole,,pond,,0,wild,swab,25.0161,121.5398,49,15
TW16587,12/04/2016,TW16_587,University Pond NTU,Bufo bankorensis,anuran,tadpoles,tadpole,,pond,,0,wild,swab,25.0161,121.5398,49,15
TW16588,12/04/2016,TW16_588,University Pond NTU,Bufo bankorensis,anuran,tadpoles,tadpole,,pond,,0,wild,swab,25.0161,121.5398,49,15
TW16589,12/04/2016,TW16_589,University Pond NTU,Bufo bankorensis,anuran,tadpoles,tadpole,,pond,,0,wild,swab,25.0161,121.5398,49,15
TW16590,12/04/2016,TW16_590,University Pond NTU,Bufo bankorensis,anuran,tadpoles,tadpole,,pond,,0,wild,swab,25.0161,121.5398,49,15
TW16593,12/04/2016,TW16_593,Yaminshan CCU,Odorana swinhoana,anuran,adults,adult,,wall,,0,wild,swab,25.138117,121.546405,1270,387
TW16594,12/04/2016,TW16_594,Yaminshan CCU,Odorana swinhoana,anuran,adults,adult,,wall,,0,wild,swab,25.138117,121.546405,1270,387
TW16595,12/04/2016,TW16_595,Yaminshan CCU,Odorana swinhoana,anuran,adults,adult,,wall,,0,wild,swab,25.138117,121.546405,1270,387
TW16596,12/04/2016,TW16_596,Yaminshan CCU,Odorana swinhoana,anuran,adults,adult,,wall,,0,wild,swab,25.138117,121.546405,1270,387
TW16597,12/04/2016,TW16_597,Yaminshan CCU,Odorana swinhoana,anuran,adults,adult,,wall,,0,wild,swab,25.138117,121.546405,1270,387
TW16598,12/04/2016,TW16_598,Yaminshan CCU,Odorana swinhoana,anuran,adults,adult,,wall,,0,wild,swab,25.138117,121.546405,1270,387
TW16599,12/04/2016,TW16_599,Yaminshan CCU,Odorana swinhoana,anuran,adults,adult,,wall,,0,wild,swab,25.138117,121.546405,1270,387
TW16600,12/04/2016,TW16_600,Yaminshan CCU,Odorana swinhoana,anuran,adults,adult,,wall,,0,wild,swab,25.138117,121.546405,1270,387
TW16601,12/04/2016,TW16_601,Yaminshan CCU,Odorana swinhoana,anuran,adults,adult,,wall,,0,wild,swab,25.138117,121.546405,1270,387
TW16602,12/04/2016,TW16_602,Yaminshan CCU,Odorana swinhoana,anuran,adults,adult,,wall,,0,wild,swab,25.138117,121.546405,1270,387
TW16603,12/04/2016,TW16_603,Yaminshan CCU,Odorana swinhoana,anuran,adults,adult,,wall,,0,wild,swab,25.138117,121.546405,1270,387
TW16604,13/04/2016,TW16_604,Shenken Taipei,Hylarana latouchii,anuran,adults,adult,,gardens,,0.068,wild,swab,25.0057,121.6027,148,45
TW16605,13/04/2016,TW16_605,Shenken Taipei,Hylarana latouchii,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16606,13/04/2016,TW16_606,Shenken Taipei,Hylarana latouchii,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16607,13/04/2016,TW16_607,Shenken Taipei,Hylarana latouchii,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16608,13/04/2016,TW16_608,Shenken Taipei,Hylarana latouchii,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16609,13/04/2016,TW16_609,Shenken Taipei,Hylarana latouchii,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16610,13/04/2016,TW16_610,Shenken Taipei,Microhyla fissipes,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16611,13/04/2016,TW16_611,Shenken Taipei,Microhyla fissipes,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16612,13/04/2016,TW16_612,Shenken Taipei,Microhyla fissipes,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16613,13/04/2016,TW16_613,Shenken Taipei,Microhyla fissipes,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16614,13/04/2016,TW16_614,Shenken Taipei,Microhyla fissipes,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16615,13/04/2016,TW16_615,Shenken Taipei,Buergeria robusta,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16616,13/04/2016,TW16_616,Shenken Taipei,Buergeria robusta,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16617,13/04/2016,TW16_617,Shenken Taipei,Buergeria robusta,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16620,13/04/2016,TW16_620,Shenken Taipei,Buergeria robusta,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16621,13/04/2016,TW16_621,Shenken Taipei,Buergeria robusta,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16622,13/04/2016,TW16_622,Shenken Taipei,Buergeria robusta,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16623,13/04/2016,TW16_623,Shenken Taipei,Buergeria robusta,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16624,13/04/2016,TW16_624,Shenken Taipei,Buergeria robusta,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16625,13/04/2016,TW16_625,Shenken Taipei,??,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16626,13/04/2016,TW16_626,Shenken Taipei,??,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16627,13/04/2016,TW16_627,Shenken Taipei,Fejervarya limnocharis,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16628,13/04/2016,TW16_628,Shenken Taipei,Fejervarya limnocharis,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16629,13/04/2016,TW16_629,Shenken Taipei,Fejervarya limnocharis,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16630,13/04/2016,TW16_630,Shenken Taipei,Fejervarya limnocharis,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16631,13/04/2016,TW16_631,Shenken Taipei,Fejervarya limnocharis,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16632,13/04/2016,TW16_632,Shenken Taipei,Fejervarya limnocharis,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16633,13/04/2016,TW16_633,Shenken Taipei,Fejervarya limnocharis,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16634,13/04/2016,TW16_634,Shenken Taipei,Fejervarya limnocharis,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16634b,14/04/2016,TW16_634b,Hehuan Snowtraining camp,Hynobius sonani,salamander,adults,adult,,brook,Military place- all salamanders with double swabs,0,wild,swab,24.1426,121.2837,10305,3141
TW16635,13/04/2016,TW16_635,Shenken Taipei,Fejervarya limnocharis,anuran,adults,adult,,gardens,,0,wild,swab,25.0057,121.6027,148,45
TW16635b,14/04/2016,TW16_635b,Hehuan Snowtraining camp,Rana sauteri,anuran,adults,adult,,brook,Military place,0,wild,swab,24.1426,121.2837,10305,3141
TW16636,14/04/2016,TW16_636,Hehuan Snowtraining camp,Rana sauteri,anuran,adults,adult,,brook,Military place,0,wild,swab,24.1426,121.2837,10305,3141
TW16637,14/04/2016,TW16_637,Hehuan Snowtraining camp,Rana sauteri,anuran,adults,adult,,brook,Military place,0,wild,swab,24.1426,121.2837,10305,3141
TW16638,14/04/2016,TW16_638,Hehuan Snowtraining camp,Rana sauteri,anuran,adults,adult,,brook,Military place,0,wild,swab,24.1426,121.2837,10305,3141
TW16639,14/04/2016,TW16_639,Hehuan Snowtraining camp,Hynobius sonani,salamander,adults,adult,,brook,Military place,0,wild,swab,24.1426,121.2837,10305,3141
TW16640,14/04/2016,TW16_640,Hehuan Snowtraining camp,Hynobius sonani,salamander,adults,adult,,brook,Military place,0,wild,swab,24.1426,121.2837,10305,3141
TW16641,14/04/2016,TW16_641,Hehuan Snowtraining camp,Hynobius sonani,salamander,adults,adult,,brook,Military place,0,wild,swab,24.1426,121.2837,10305,3141
TW16642,14/04/2016,TW16_642,Hehuan Snowtraining camp,Rana sauteri,anuran,adults,adult,,brook,Military place,0,wild,swab,24.1426,121.2837,10305,3141
TW16643,16/04/2016,TW16_643,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,female,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16644,16/04/2016,TW16_644,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,female,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16645,16/04/2016,TW16_645,Hehuan Creek Station,Hynobius sonani,salamander,juvenile,juvenile,,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16646,16/04/2016,TW16_646,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,female,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16647,16/04/2016,TW16_647,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,female,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16648,16/04/2016,TW16_648,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,male,brook,Station- only 3 legs,0,wild,swab,24.1635,121.2859,9747,2971
TW16649,16/04/2016,TW16_649,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,female,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16650,16/04/2016,TW16_650,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,female,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16651,16/04/2016,TW16_651,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,female,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16652,16/04/2016,TW16_652,Hehuan Creek Station,Hynobius sonani,salamander,juvenile,juvenile,,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16653,16/04/2016,TW16_653,Hehuan Creek Station,Hynobius sonani,salamander,juvenile,juvenile,,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16654,16/04/2016,TW16_654,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16655,16/04/2016,TW16_655,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,female,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16656,16/04/2016,TW16_656,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,male,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16657,16/04/2016,TW16_657,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,female,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16658,16/04/2016,TW16_658,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,female,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16659,16/04/2016,TW16_659,Hehuan Creek Station,Hynobius sonani,salamander,adults,adult,female,brook,Station,0,wild,swab,24.1635,121.2859,9747,2971
TW16660,16/04/2016,TW16_660,Hehuan Snowtraining camp,Hynobius sonani,salamander,juvenile,juvenile,,brook,Miliatry place,0,wild,swab,24.1426,121.2837,10305,3141
TW16661,16/04/2016,TW16_661,Dashueshan,Hynobius sonani,salamander,adults,adult,female,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16662,16/04/2016,TW16_662,Dashueshan,Hynobius sonani,salamander,adults,adult,female,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16663,16/04/2016,TW16_663,Dashueshan,Hynobius sonani,salamander,adults,adult,male,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16664,16/04/2016,TW16_664,Dashueshan,Hynobius sonani,salamander,adults,adult,male,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16665,16/04/2016,TW16_665,Dashueshan,Hynobius sonani,salamander,adults,adult,female,Path,close to creek- low righting reflex,0,wild,swab,24.1911,121.3140,8474,2583
TW16666,16/04/2016,TW16_666,Dashueshan,Hynobius sonani,salamander,adults,adult,female,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16667,16/04/2016,TW16_667,Dashueshan,Hynobius sonani,salamander,juvenile,juvenile,,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16668,16/04/2016,TW16_668,Dashueshan,Hynobius sonani,salamander,adults,adult,male,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16669,16/04/2016,TW16_669,Dashueshan,Hynobius sonani,salamander,adults,adult,female,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16670,16/04/2016,TW16_670,Dashueshan,Hynobius sonani,salamander,adults,adult,female,Path,close to creek- marked 3 times,0,wild,swab,24.1911,121.3140,8474,2583
TW16671,16/04/2016,TW16_671,Dashueshan,Hynobius sonani,salamander,juvenile,juvenile,,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16672,16/04/2016,TW16_672,Dashueshan,Hynobius sonani,salamander,adults,adult,female,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16673,16/04/2016,TW16_673,Dashueshan,Hynobius sonani,salamander,adults,adult,female,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16674,16/04/2016,TW16_674,Dashueshan,Hynobius sonani,salamander,adults,adult,male,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16675,16/04/2016,TW16_675,Dashueshan,Hynobius sonani,salamander,adults,adult,male,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16676,16/04/2016,TW16_676,Dashueshan,Hynobius sonani,salamander,adults,adult,female,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16677,16/04/2016,TW16_677,Dashueshan,Hynobius sonani,salamander,adults,adult,female,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16678,16/04/2016,TW16_678,Dashueshan,Hynobius sonani,salamander,adults,adult,male,Path,close to creek,0,wild,swab,24.1911,121.3140,8474,2583
TW16679,17/04/2016,TW16_679,Cui Fen,Hynobius formosa,anuran,adults,adult,female,Path,close to creek,0,wild,swab,24.1236,121.1851,7546,2300
