"","reads.in","reads.out"
"170714_M03291_0074_000000000-AV4VF_205_S107_L001_R1_001.fastq",1177,1069
"170714_M03291_0074_000000000-AV4VF_207_S108_L001_R1_001.fastq",9243,8512
"170714_M03291_0074_000000000-AV4VF_208_S89_L001_R1_001.fastq",3688,3193
"170714_M03291_0074_000000000-AV4VF_209_S90_L001_R1_001.fastq",6539,5382
"170714_M03291_0074_000000000-AV4VF_21_S23_L001_R1_001.fastq",36691,33402
"170714_M03291_0074_000000000-AV4VF_210_S91_L001_R1_001.fastq",5862,5182
"170714_M03291_0074_000000000-AV4VF_212_S92_L001_R1_001.fastq",59654,53185
"170714_M03291_0074_000000000-AV4VF_213_S127_L001_R1_001.fastq",17123,15927
"170714_M03291_0074_000000000-AV4VF_215_S72_L001_R1_001.fastq",62645,58676
"170714_M03291_0074_000000000-AV4VF_216_S73_L001_R1_001.fastq",21944,20227
"170714_M03291_0074_000000000-AV4VF_217_S74_L001_R1_001.fastq",87720,80712
"170714_M03291_0074_000000000-AV4VF_218_S75_L001_R1_001.fastq",40421,37526
"170714_M03291_0074_000000000-AV4VF_22_S24_L001_R1_001.fastq",104304,93076
"170714_M03291_0074_000000000-AV4VF_220_S147_L001_R1_001.fastq",52510,44571
"170714_M03291_0074_000000000-AV4VF_221_S78_L001_R1_001.fastq",11682,10629
"170714_M03291_0074_000000000-AV4VF_222_S80_L001_R1_001.fastq",54127,50641
"170714_M03291_0074_000000000-AV4VF_223_S79_L001_R1_001.fastq",99936,93563
"170714_M03291_0074_000000000-AV4VF_224_S81_L001_R1_001.fastq",38988,36124
"170714_M03291_0074_000000000-AV4VF_227_S82_L001_R1_001.fastq",94429,87994
"170714_M03291_0074_000000000-AV4VF_228_S83_L001_R1_001.fastq",102786,96210
"170714_M03291_0074_000000000-AV4VF_23_S25_L001_R1_001.fastq",46381,42209
"170714_M03291_0074_000000000-AV4VF_231_S42_L001_R1_001.fastq",21789,18909
"170714_M03291_0074_000000000-AV4VF_232_S97_L001_R1_001.fastq",60,14
"170714_M03291_0074_000000000-AV4VF_233_S98_L001_R1_001.fastq",58,41
"170714_M03291_0074_000000000-AV4VF_234_S148_L001_R1_001.fastq",135076,118848
"170714_M03291_0074_000000000-AV4VF_238_S64_L001_R1_001.fastq",4297,3251
"170714_M03291_0074_000000000-AV4VF_240_S63_L001_R1_001.fastq",28467,23439
"170714_M03291_0074_000000000-AV4VF_242_S62_L001_R1_001.fastq",13837,8480
"170714_M03291_0074_000000000-AV4VF_243_S61_L001_R1_001.fastq",5818,740
"170714_M03291_0074_000000000-AV4VF_244_S59_L001_R1_001.fastq",8855,1484
"170714_M03291_0074_000000000-AV4VF_245_S60_L001_R1_001.fastq",130826,50543
"170714_M03291_0074_000000000-AV4VF_246_S58_L001_R1_001.fastq",48224,40969
"170714_M03291_0074_000000000-AV4VF_247_S57_L001_R1_001.fastq",2601,1992
"170714_M03291_0074_000000000-AV4VF_248_S56_L001_R1_001.fastq",49000,38267
"170714_M03291_0074_000000000-AV4VF_25_S26_L001_R1_001.fastq",134103,122683
"170714_M03291_0074_000000000-AV4VF_252_S55_L001_R1_001.fastq",4827,3992
"170714_M03291_0074_000000000-AV4VF_256_S159_L001_R1_001.fastq",2758,2155
"170714_M03291_0074_000000000-AV4VF_257_S160_L001_R1_001.fastq",1284,210
"170714_M03291_0074_000000000-AV4VF_258_S161_L001_R1_001.fastq",3588,3156
"170714_M03291_0074_000000000-AV4VF_261_S162_L001_R1_001.fastq",967,796
"170714_M03291_0074_000000000-AV4VF_263_S163_L001_R1_001.fastq",2926,2639
"170714_M03291_0074_000000000-AV4VF_264_S164_L001_R1_001.fastq",2204,2050
"170714_M03291_0074_000000000-AV4VF_268_S165_L001_R1_001.fastq",6234,4883
"170714_M03291_0074_000000000-AV4VF_27_S27_L001_R1_001.fastq",10388,9214
"170714_M03291_0074_000000000-AV4VF_277_S167_L001_R1_001.fastq",5633,2617
"170714_M03291_0074_000000000-AV4VF_278_S166_L001_R1_001.fastq",48885,45399
"170714_M03291_0074_000000000-AV4VF_28_S28_L001_R1_001.fastq",80859,73997
"170714_M03291_0074_000000000-AV4VF_280_S54_L001_R1_001.fastq",106487,100162
"170714_M03291_0074_000000000-AV4VF_282_S52_L001_R1_001.fastq",93558,87701
"170714_M03291_0074_000000000-AV4VF_283_S53_L001_R1_001.fastq",14191,12884
"170714_M03291_0074_000000000-AV4VF_288_S43_L001_R1_001.fastq",362,305
"170714_M03291_0074_000000000-AV4VF_294_S1_L001_R1_001.fastq",255260,233447
"170714_M03291_0074_000000000-AV4VF_297_S2_L001_R1_001.fastq",12884,11669
"170714_M03291_0074_000000000-AV4VF_3_S8_L001_R1_001.fastq",343,214
