"V1" "V2" "V3" "V4" "V5" "V6" "V7"
"SV2658" "k__Fungi" NA NA NA NA NA NA
"SV2659" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Chaetosphaeriales" "f__Chaetosphaeriaceae" NA NA
"SV2660" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" NA NA NA NA
"SV2661" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Cantharellales_fam_Incertae_sedis" "g__Multiclavula" NA
"SV2662" "k__Fungi" NA NA NA NA NA NA
"SV2663" "k__Fungi" NA NA NA NA NA NA
"SV2664" "k__Fungi" "p__Blastocladiomycota" "c__Blastocladiomycetes" "o__Blastocladiales" "f__Blastocladiaceae" "g__Allomyces" "s__reticulatus"
"SV2665" "k__Fungi" NA NA NA NA NA NA
"SV2666" "k__Fungi" NA NA NA NA NA NA
"SV2667" "k__Fungi" NA NA NA NA NA NA
"SV2668" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__solani"
"SV2669" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" NA NA NA NA
"SV2670" "k__Fungi" NA NA NA NA NA NA
"SV2671" "k__Fungi" "p__Chytridiomycota" "c__Synchytriomycetes" "o__Synchytriales" "f__Synchytriaceae" "g__Synchytrium" NA
"SV2672" "k__Fungi" "p__Rozellomycota" NA NA NA NA NA
"SV2673" "k__Fungi" NA NA NA NA NA NA
"SV2674" "k__Fungi" "p__Chytridiomycota" "c__Synchytriomycetes" "o__Synchytriales" "f__Synchytriaceae" "g__Synchytrium" NA
"SV2675" "k__Fungi" NA NA NA NA NA NA
"SV2676" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" NA NA
"SV2677" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" NA NA
"SV2678" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" "g__Dioszegia" NA
"SV2679" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" NA NA NA
"SV2680" "k__Fungi" NA NA NA NA NA NA
"SV2681" "k__Fungi" NA NA NA NA NA NA
"SV2682" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Exidiaceae" "g__Eichleriella" NA
"SV2683" "k__Fungi" NA NA NA NA NA NA
"SV2684" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" NA NA
"SV2685" "k__Fungi" NA NA NA NA NA NA
"SV2686" "k__Fungi" NA NA NA NA NA NA
"SV2687" "k__Fungi" NA NA NA NA NA NA
"SV2688" "k__Fungi" NA NA NA NA NA NA
"SV2689" "k__Fungi" NA NA NA NA NA NA
"SV2690" "k__Fungi" NA NA NA NA NA NA
"SV2691" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Dictyosporiaceae" "g__Pseudocoleophoma" NA
"SV2692" "k__Fungi" NA NA NA NA NA NA
"SV2693" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Exophiala" "s__bonariae"
"SV2694" "k__Fungi" NA NA NA NA NA NA
"SV2695" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Dermateaceae" NA NA
"SV2696" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Exophiala" "s__equina"
"SV2697" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Phoma" "s__leveillei"
"SV2698" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Catenulifera" NA
"SV2699" "k__Fungi" NA NA NA NA NA NA
"SV2700" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" NA NA NA
"SV2701" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"SV2702" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" NA NA NA NA
"SV2703" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" NA NA
"SV2704" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Cistella" NA
"SV2705" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Ophiocordycipitaceae" "g__Polycephalomyces" NA
"SV2706" "k__Fungi" NA NA NA NA NA NA
"SV2707" "k__Fungi" "p__Rozellomycota" NA NA NA NA NA
"SV2708" "k__Fungi" NA NA NA NA NA NA
"SV2709" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Volutella" NA
"SV2710" "k__Fungi" NA NA NA NA NA NA
"SV2711" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"SV2712" "k__Fungi" NA NA NA NA NA NA
"SV2713" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Trimorphomycetaceae" "g__Carlosrosaea" NA
"SV2714" "k__Fungi" "p__Ascomycota" "c__Lecanoromycetes" "o__Lecanorales" "f__Ramalinaceae" NA NA
"SV2715" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" NA NA NA
"SV2716" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" NA NA NA NA
"SV2717" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" NA NA NA
"SV2718" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Aspergillaceae" "g__Penicillium" "s__brocae"
"SV2719" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Cyphellophoraceae" "g__Cyphellophora" "s__oxyspora"
"SV2720" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Trimorphomycetaceae" "g__Saitozyma" NA
"SV2721" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Cyphellophoraceae" "g__Cyphellophora" NA
"SV2722" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"SV2723" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" NA NA NA NA
"SV2724" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Psathyrellaceae" "g__Coprinellus" NA
"SV2725" "k__Fungi" NA NA NA NA NA NA
"SV2726" "k__Fungi" NA NA NA NA NA NA
"SV2727" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" "f__Cladosporiaceae" "g__Cladosporium" "s__tenuissimum"
"SV2728" "k__Fungi" NA NA NA NA NA NA
"SV2729" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Glomerellales" "f__Plectosphaerellaceae" "g__Plectosphaerella" "s__cucumerina"
"SV2730" "k__Fungi" NA NA NA NA NA NA
"SV2731" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Cyphellophoraceae" "g__Cyphellophora" NA
"SV2732" "k__Fungi" NA NA NA NA NA NA
"SV2733" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Auriculariales_fam_Incertae_sedis" "g__Heterochaetella" NA
"SV2734" "k__Fungi" NA NA NA NA NA NA
"SV2735" "k__Fungi" "p__Rozellomycota" "c__Rozellomycotina_cls_Incertae_sedis" "o__GS04" NA NA NA
"SV2736" "k__Fungi" "p__Rozellomycota" NA NA NA NA NA
"SV2737" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Russulales" NA NA NA
"SV2738" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Polyporales" "f__Xenasmataceae" "g__Xenasma" "s__pruinosum"
"SV2739" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Naemacyclus" "s__culmigenus"
"SV2740" "k__Fungi" NA NA NA NA NA NA
"SV2741" "k__Fungi" NA NA NA NA NA NA
"SV2742" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Piskurozymaceae" "g__Piskurozyma" "s__silvicola"
"SV2743" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" NA NA
"SV2744" "k__Fungi" "p__Rozellomycota" NA NA NA NA NA
"SV2745" "k__Fungi" "p__Rozellomycota" NA NA NA NA NA
"SV2746" "k__Fungi" NA NA NA NA NA NA
"SV2747" "k__Fungi" NA NA NA NA NA NA
"SV2748" "k__Fungi" NA NA NA NA NA NA
"SV2749" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Exidiaceae" "g__Exidia" "s__nucleata"
"SV2750" "k__Fungi" NA NA NA NA NA NA
"SV2751" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Xylariales" "f__Microdochiaceae" "g__Microdochium" "s__tainanense"
"SV2752" "k__Fungi" NA NA NA NA NA NA
"SV2753" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Lophiostomataceae" NA NA
"SV2754" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Cyphellophoraceae" "g__Cyphellophora" NA
"SV2755" "k__Fungi" NA NA NA NA NA NA
"SV2756" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymosphaeriaceae" "g__Paraconiothyrium" NA
"SV2757" "k__Fungi" "p__Basidiomycota" "c__Exobasidiomycetes" "o__Entylomatales" "f__Entylomataceae" "g__Entyloma" NA
"SV2758" "k__Fungi" "p__Basidiomycota" "c__Microbotryomycetes" "o__Sporidiobolales" "f__Sporidiobolaceae" "g__Rhodotorula" "s__diobovata"
"SV2759" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" NA NA NA NA
"SV2760" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreales_fam_Incertae_sedis" "g__Acremonium" "s__alternatum"
"SV2761" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" NA NA NA
"SV2762" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" "f__Teratosphaeriaceae" "g__Capnobotryella" NA
"SV2763" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" "f__Cladosporiaceae" "g__Cladosporium" "s__tenuissimum"
"SV2764" "k__Fungi" NA NA NA NA NA NA
"SV2765" "k__Fungi" NA NA NA NA NA NA
"SV2766" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" NA NA
"SV2767" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" NA NA
"SV2768" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Claussenomyces" NA
"SV2769" "k__Fungi" NA NA NA NA NA NA
"SV2770" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" "g__Alfaria" NA
"SV2771" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" "g__Bulleribasidium" NA
"SV2772" "k__Fungi" NA NA NA NA NA NA
"SV2773" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Cantharellales_fam_Incertae_sedis" "g__Sistotrema" NA
"SV2774" "k__Fungi" "p__Basidiomycota" "c__Microbotryomycetes" "o__Microbotryomycetes_ord_Incertae_sedis" "f__Chrysozymaceae" "g__Pseudohyphozyma" "s__pustula"
"SV2775" "k__Fungi" NA NA NA NA NA NA
"SV2776" "k__Fungi" "p__Basidiomycota" NA NA NA NA NA
"SV2777" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Tubeufiales" "f__Tubeufiaceae" NA NA
"SV2778" "k__Fungi" "p__Rozellomycota" NA NA NA NA NA
"SV2779" "k__Fungi" "p__Ascomycota" "c__Lecanoromycetes" "o__Ostropales" "f__Gomphillaceae" "g__Taitaia" "s__aurea"
"SV2780" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" NA NA
"SV2781" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Lophiostomataceae" "g__Lophiostoma" "s__chamaecyparidis"
"SV2782" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Diaporthales" NA NA NA
"SV2783" "k__Fungi" NA NA NA NA NA NA
"SV2784" "k__Fungi" NA NA NA NA NA NA
"SV2785" "k__Fungi" NA NA NA NA NA NA
"SV2786" "k__Fungi" NA NA NA NA NA NA
"SV2787" "k__Fungi" NA NA NA NA NA NA
"SV2788" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" "f__Mycosphaerellaceae" NA NA
"SV2789" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Neosetophoma" NA
"SV2790" "k__Fungi" "p__Basidiomycota" "c__Cystobasidiomycetes" "o__Cystobasidiales" "f__Cystobasidiaceae" "g__Occultifur" NA
"SV2791" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Bionectriaceae" "g__Geosmithia" NA
"SV2792" "k__Fungi" NA NA NA NA NA NA
"SV2793" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Cordycipitaceae" "g__Parengyodontium" "s__album"
"SV2794" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"SV2795" "k__Fungi" NA NA NA NA NA NA
"SV2796" "k__Fungi" NA NA NA NA NA NA
"SV2797" "k__Fungi" NA NA NA NA NA NA
"SV2798" "k__Fungi" NA NA NA NA NA NA
"SV2799" "k__Fungi" NA NA NA NA NA NA
"SV2800" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" NA NA
"SV2801" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"SV2802" "k__Fungi" NA NA NA NA NA NA
"SV2803" "k__Fungi" NA NA NA NA NA NA
"SV2804" "k__Fungi" "p__Rozellomycota" NA NA NA NA NA
"SV2805" "k__Fungi" NA NA NA NA NA NA
"SV2806" "k__Fungi" NA NA NA NA NA NA
"SV2807" "k__Fungi" NA NA NA NA NA NA
"SV2808" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporaceae" "g__Alternaria" "s__alternata"
"SV2809" "k__Fungi" "p__Ascomycota" "c__Lecanoromycetes" "o__Lecanorales" "f__Micareaceae" "g__Micarea" "s__lapillicola"
"SV2810" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Venturiales" "f__Sympoventuriaceae" "g__Scolecobasidium" "s__humicola"
"SV2811" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Venturiales" "f__Sympoventuriaceae" NA NA
"SV2812" "k__Fungi" NA NA NA NA NA NA
"SV2813" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Phialea" NA
"SV2814" "k__Fungi" NA NA NA NA NA NA
"SV2815" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Torulaceae" "g__Torula" NA
"SV2816" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Phoma" "s__leveillei"
"SV2817" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"SV2818" "k__Fungi" NA NA NA NA NA NA
"SV2819" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Polyporales" "f__Hyphodermataceae" "g__Hyphoderma" NA
"SV2820" "k__Fungi" "p__Chytridiomycota" "c__Rhizophydiomycetes" "o__Rhizophydiales" "f__Alphamycetaceae" "g__Alphamyces" "s__chaetifer"
"SV2821" "k__Fungi" NA NA NA NA NA NA
"SV2822" "k__Fungi" NA NA NA NA NA NA
"SV2823" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Coniochaetales" "f__Coniochaetaceae" "g__Coniochaeta" NA
"SV2824" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"SV2825" "k__Fungi" NA NA NA NA NA NA
"SV2826" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Collembolispora" NA
"SV2827" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" NA NA NA
"SV2828" "k__Fungi" NA NA NA NA NA NA
"SV2829" "k__Fungi" NA NA NA NA NA NA
"SV2830" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Rhinocladiella" NA
"SV2831" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" NA NA NA NA
"SV2832" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Glomerellales" "f__Plectosphaerellaceae" "g__Plectosphaerella" "s__cucumerina"
"SV2833" "k__Fungi" "p__Ascomycota" "c__Lecanoromycetes" NA NA NA NA
"SV2834" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" NA NA NA
"SV2835" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" NA NA NA
"SV2836" "k__Fungi" NA NA NA NA NA NA
"SV2837" "k__Fungi" NA NA NA NA NA NA
"SV2838" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Verrucariales" "f__Verrucariaceae" "g__Verrucaria" NA
"SV2839" "k__Fungi" NA NA NA NA NA NA
"SV2840" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" NA NA
"SV2841" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Dermateaceae" NA NA
"SV2842" "k__Fungi" NA NA NA NA NA NA
"SV2843" "k__Fungi" NA NA NA NA NA NA
"SV2844" "k__Fungi" NA NA NA NA NA NA
"SV2845" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Volutella" NA
"SV2846" "k__Fungi" NA NA NA NA NA NA
"SV2847" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Phaeotremellaceae" "g__Phaeotremella" NA
"SV2848" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"SV2849" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" NA NA NA NA
"SV2850" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporales_fam_Incertae_sedis" "g__Berkleasmium" NA
"SV2851" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Strophariaceae" "g__Psilocybe" NA
"SV2852" "k__Fungi" NA NA NA NA NA NA
"SV2853" "k__Fungi" "p__Rozellomycota" "c__Rozellomycotina_cls_Incertae_sedis" "o__GS10" NA NA NA
"SV2854" "k__Fungi" "p__Chytridiomycota" "c__Rhizophydiomycetes" "o__Rhizophydiales" "f__Angulomycetaceae" "g__Angulomyces" "s__argentinensis"
"SV2855" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" NA NA NA
"SV2856" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"SV2857" "k__Fungi" "p__Basidiomycota" "c__Microbotryomycetes" "o__Microbotryomycetes_ord_Incertae_sedis" "f__Chrysozymaceae" NA NA
"SV2858" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Aspergillaceae" "g__Aspergillus" NA
"SV2859" "k__Fungi" NA NA NA NA NA NA
"SV2860" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymosphaeriaceae" "g__Paraconiothyrium" "s__archidendri"
"SV2861" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"SV2862" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" NA NA NA
"SV2863" "k__Fungi" "p__Ascomycota" "c__Lecanoromycetes" "o__Ostropales" "f__Gomphillaceae" "g__Taitaia" "s__aurea"
"SV2864" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Hysteriales" NA NA NA
"SV2865" "k__Fungi" "p__Rozellomycota" NA NA NA NA NA
"SV2866" "k__Fungi" NA NA NA NA NA NA
"SV2867" "k__Fungi" "p__Monoblepharomycota" "c__Sanchytriomycetes" "o__Sanchytriales" "f__Sanchytriaceae" NA NA
"SV2868" "k__Fungi" NA NA NA NA NA NA
"SV2869" "k__Fungi" "p__Ascomycota" "c__Saccharomycetes" "o__Saccharomycetales" "f__Debaryomycetaceae" "g__Hyphopichia" NA
"SV2870" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Mariannaea" "s__pinicola"
"SV2871" "k__Fungi" NA NA NA NA NA NA
"SV2872" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporales_fam_Incertae_sedis" "g__Pseudorobillarda" NA
"SV2873" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreales_fam_Incertae_sedis" NA NA
"SV2874" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__solani"
"SV2875" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Cordycipitaceae" "g__Lecanicillium" NA
"SV2876" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Cystofilobasidiales" "f__Mrakiaceae" "g__Itersonilia" "s__perplexans"
"SV2877" "k__Fungi" NA NA NA NA NA NA
"SV2878" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Xylariales" NA NA NA
"SV2879" "k__Fungi" NA NA NA NA NA NA
"SV2880" "k__Fungi" NA NA NA NA NA NA
"SV2881" "k__Fungi" NA NA NA NA NA NA
"SV2882" "k__Fungi" NA NA NA NA NA NA
"SV2883" "k__Fungi" NA NA NA NA NA NA
"SV2884" "k__Fungi" NA NA NA NA NA NA
"SV2885" "k__Fungi" NA NA NA NA NA NA
"SV2886" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Parastagonospora" "s__avenae"
"SV2887" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Hymenochaetales" "f__Hymenochaetaceae" "g__Hymenochaete" "s__fulva"
"SV2888" "k__Fungi" NA NA NA NA NA NA
"SV2889" "k__Fungi" NA NA NA NA NA NA
"SV2890" "k__Fungi" NA NA NA NA NA NA
"SV2891" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"SV2892" "k__Fungi" NA NA NA NA NA NA
"SV2893" "k__Fungi" "p__Chytridiomycota" "c__Rhizophydiomycetes" "o__Rhizophydiales" NA NA NA
"SV2894" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Piskurozymaceae" "g__Piskurozyma" NA
"SV2895" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" NA NA
"SV2896" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" NA NA
"SV2897" "k__Fungi" "p__Basidiomycota" "c__Ustilaginomycetes" "o__Ustilaginales" "f__Ustilaginaceae" NA NA
"SV2898" "k__Fungi" "p__Rozellomycota" "c__Rozellomycotina_cls_Incertae_sedis" "o__Branch02" NA NA NA
"SV2899" "k__Fungi" NA NA NA NA NA NA
"SV2900" "k__Fungi" "p__Rozellomycota" "c__Rozellomycotina_cls_Incertae_sedis" "o__GS10" NA NA NA
"SV2901" "k__Fungi" NA NA NA NA NA NA
"SV2902" "k__Fungi" NA NA NA NA NA NA
"SV2903" "k__Fungi" NA NA NA NA NA NA
"SV2904" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Thelebolales" "f__Pseudeurotiaceae" "g__Pseudeurotium" NA
"SV2905" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Amniculicolaceae" "g__Murispora" "s__cicognanii"
"SV2906" "k__Fungi" NA NA NA NA NA NA
"SV2907" "k__Fungi" NA NA NA NA NA NA
"SV2908" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__amoeboidea"
"SV2909" "k__Fungi" "p__Rozellomycota" "c__Rozellomycotina_cls_Incertae_sedis" "o__GS10" NA NA NA
"SV2910" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" NA NA
"SV2911" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Clavariaceae" "g__Clavaria" NA
"SV2912" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" NA NA NA
"SV2913" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreaceae" "g__Trichoderma" "s__martiale"
"SV2914" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" NA NA NA
"SV2915" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Sebacinales" NA NA NA
"SV2916" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" NA NA NA NA
"SV2917" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Verrucariales" "f__Verrucariaceae" NA NA
"SV2918" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Xylariales" "f__Xylariales_fam_Incertae_sedis" "g__Fusidium" NA
"SV2919" "k__Fungi" "p__Chytridiomycota" NA NA NA NA NA
"SV2920" "k__Fungi" "p__Rozellomycota" "c__Rozellomycotina_cls_Incertae_sedis" "o__GS10" NA NA NA
"SV2921" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" NA NA
"SV2922" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Xylariales" "f__Xylariaceae" "g__Rosellinia" "s__mammiformis"
"SV2923" "k__Fungi" NA NA NA NA NA NA
"SV2924" "k__Fungi" NA NA NA NA NA NA
"SV2925" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" NA NA NA NA
"SV2926" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" NA NA
"SV2927" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Glomerellales" "f__Plectosphaerellaceae" "g__Plectosphaerella" "s__cucumerina"
"SV2928" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" NA NA NA
